Time, z, vz, sphericity, size
0.240000, 0.532238, 0.247583, 1.007627, 0.000000
0.242500, 0.532887, 0.249475, 1.007626, 0.000000
0.245000, 0.533542, 0.251355, 1.007625, 0.000000
0.247500, 0.534202, 0.253222, 1.007624, 0.000000
0.250000, 0.534867, 0.255078, 1.007624, 0.000000
0.252500, 0.535538, 0.256922, 1.007624, 0.000000
0.255000, 0.536214, 0.258756, 1.007623, 0.000000
0.257500, 0.536895, 0.260576, 1.007623, 0.000000
0.260000, 0.537582, 0.262385, 1.007623, 0.000000
0.262500, 0.538274, 0.264181, 1.007623, 0.000000
0.265000, 0.538973, 0.265961, 1.007624, 0.000000
0.267500, 0.539677, 0.267726, 1.007626, 0.000000
0.270000, 0.540387, 0.269473, 1.007627, 0.000000
0.272500, 0.541103, 0.271203, 1.007628, 0.000000
0.275000, 0.541825, 0.272914, 1.007630, 0.000000
0.277500, 0.542553, 0.274606, 1.007632, 0.000000
0.280000, 0.543287, 0.276279, 1.007634, 0.000000
0.282500, 0.544028, 0.277930, 1.007638, 0.000000
0.285000, 0.544775, 0.279560, 1.007643, 0.000000
0.287500, 0.545528, 0.281168, 1.007649, 0.000000
0.290000, 0.546289, 0.282753, 1.007657, 0.000000
0.292500, 0.547057, 0.284318, 1.007666, 0.000000
0.295000, 0.547832, 0.285863, 1.007676, 0.000000
0.297500, 0.548615, 0.287389, 1.007687, 0.000000
0.300000, 0.549405, 0.288898, 1.007699, 0.000000
0.302500, 0.550202, 0.290394, 1.007713, 0.000000
0.305000, 0.551008, 0.291877, 1.007726, 0.000000
0.307500, 0.551821, 0.293348, 1.007740, 0.000000
0.310000, 0.552642, 0.294808, 1.007754, 0.000000
0.312500, 0.553470, 0.296261, 1.007767, 0.000000
0.315000, 0.554305, 0.297706, 1.007780, 0.000000
0.317500, 0.555148, 0.299144, 1.007792, 0.000000
0.320000, 0.555997, 0.300574, 1.007804, 0.000000
0.322500, 0.556854, 0.301992, 1.007816, 0.000000
0.325000, 0.557716, 0.303397, 1.007827, 0.000000
0.327500, 0.558585, 0.304788, 1.007836, 0.000000
0.330000, 0.559458, 0.306165, 1.007843, 0.000000
0.332500, 0.560337, 0.307529, 1.007848, 0.000000
0.335000, 0.561219, 0.308880, 1.007850, 0.000000
0.337500, 0.562106, 0.310215, 1.007851, 0.000000
0.340000, 0.562995, 0.311536, 1.007849, 0.000000
0.342500, 0.563887, 0.312841, 1.007845, 0.000000
0.345000, 0.564780, 0.314127, 1.007840, 0.000000
0.347500, 0.565675, 0.315396, 1.007833, 0.000000
0.350000, 0.566571, 0.316643, 1.007824, 0.000000
0.352500, 0.567467, 0.317867, 1.007814, 0.000000
0.355000, 0.568363, 0.319064, 1.007803, 0.000000
0.357500, 0.569259, 0.320233, 1.007791, 0.000000
0.360000, 0.570155, 0.321373, 1.007777, 0.000000
0.362500, 0.571049, 0.322482, 1.007763, 0.000000
0.365000, 0.571942, 0.323563, 1.007749, 0.000000
0.367500, 0.572834, 0.324615, 1.007735, 0.000000
0.370000, 0.573724, 0.325640, 1.007719, 0.000000
0.372500, 0.574613, 0.326637, 1.007703, 0.000000
0.375000, 0.575499, 0.327605, 1.007687, 0.000000
0.377500, 0.576384, 0.328546, 1.007671, 0.000000
0.380000, 0.577266, 0.329461, 1.007654, 0.000000
0.382500, 0.578147, 0.330350, 1.007639, 0.000000
0.385000, 0.579025, 0.331212, 1.007624, 0.000000
0.387500, 0.579902, 0.332050, 1.007609, 0.000000
0.390000, 0.580777, 0.332867, 1.007595, 0.000000
0.392500, 0.581650, 0.333666, 1.007583, 0.000000
0.395000, 0.582522, 0.334450, 1.007572, 0.000000
0.397500, 0.583393, 0.335219, 1.007562, 0.000000
0.400000, 0.584264, 0.335975, 1.007555, 0.000000
0.402500, 0.585134, 0.336721, 1.007549, 0.000000
0.405000, 0.586005, 0.337457, 1.007544, 0.000000
0.407500, 0.586877, 0.338185, 1.007541, 0.000000
0.410000, 0.587750, 0.338907, 1.007539, 0.000000
0.412500, 0.588625, 0.339622, 1.007538, 0.000000
0.415000, 0.589501, 0.340329, 1.007538, 0.000000
