Time, z, vz, sphericity, size
0.235000, 0.890962, 0.662102, 1.151645, 0.000000
0.237500, 0.887845, 0.709826, 1.037054, 0.000000
0.240000, 0.903488, 0.740524, 1.067611, 0.000000
0.242500, 0.888603, 0.726325, 1.038963, 0.000000
0.245000, 0.921979, 0.688503, 1.090530, 0.000000
0.247500, 0.915471, 0.855792, 0.851797, 0.000000
0.250000, 0.928330, 0.674978, 1.075251, 0.000000
Time, z, vz, sphericity, size
0.000000, 0.500000, 0.000000, 1.008196, 0.000000
0.000250, 0.500000, 0.000529, 1.008196, 0.000000
0.000500, 0.500000, 0.004092, 1.008149, 0.000000
0.000750, 0.500000, 0.007712, 1.008151, 0.000000
0.001000, 0.500002, 0.011331, 1.008152, 0.000000
0.001250, 0.500003, 0.014946, 1.008153, 0.000000
0.001500, 0.500006, 0.018558, 1.008154, 0.000000
0.001750, 0.500009, 0.022167, 1.008154, 0.000000
0.002000, 0.500014, 0.025773, 1.008155, 0.000000
0.002250, 0.500019, 0.029377, 1.008156, 0.000000
0.002500, 0.500025, 0.032978, 1.008156, 0.000000
0.002750, 0.500031, 0.036576, 1.008157, 0.000000
0.003000, 0.500039, 0.040172, 1.008157, 0.000000
0.003250, 0.500047, 0.043765, 1.008158, 0.000000
0.003500, 0.500056, 0.047356, 1.008159, 0.000000
0.003750, 0.500066, 0.050945, 1.008159, 0.000000
0.004000, 0.500077, 0.054531, 1.008160, 0.000000
0.004250, 0.500088, 0.058115, 1.008160, 0.000000
0.004500, 0.500101, 0.061697, 1.008160, 0.000000
0.004750, 0.500114, 0.065276, 1.008161, 0.000000
0.005000, 0.500128, 0.068853, 1.008161, 0.000000
0.005250, 0.500143, 0.072428, 1.008162, 0.000000
0.005500, 0.500159, 0.076000, 1.008162, 0.000000
0.005750, 0.500176, 0.079570, 1.008162, 0.000000
0.006000, 0.500193, 0.083138, 1.008163, 0.000000
0.006250, 0.500212, 0.086704, 1.008163, 0.000000
0.006500, 0.500231, 0.090267, 1.008163, 0.000000
0.006750, 0.500252, 0.093828, 1.008164, 0.000000
0.007000, 0.500273, 0.097387, 1.008164, 0.000000
0.007250, 0.500295, 0.100944, 1.008164, 0.000000
0.007500, 0.500317, 0.104499, 1.008164, 0.000000
0.007750, 0.500341, 0.108051, 1.008165, 0.000000
0.008000, 0.500366, 0.111601, 1.008165, 0.000000
0.008250, 0.500391, 0.115150, 1.008165, 0.000000
0.008500, 0.500418, 0.118695, 1.008165, 0.000000
0.008750, 0.500445, 0.122239, 1.008165, 0.000000
0.009000, 0.500473, 0.125780, 1.008165, 0.000000
0.009250, 0.500502, 0.129320, 1.008165, 0.000000
0.009500, 0.500532, 0.132857, 1.008165, 0.000000
0.009750, 0.500563, 0.136392, 1.008165, 0.000000
0.010000, 0.500595, 0.139925, 1.008165, 0.000000
0.010250, 0.500627, 0.143456, 1.008165, 0.000000
0.010500, 0.500661, 0.146984, 1.008165, 0.000000
0.010750, 0.500695, 0.150511, 1.008165, 0.000000
0.011000, 0.500731, 0.154035, 1.008165, 0.000000
0.011250, 0.500767, 0.157557, 1.008165, 0.000000
0.011500, 0.500804, 0.161077, 1.008165, 0.000000
0.011750, 0.500842, 0.164595, 1.008165, 0.000000
0.012000, 0.500882, 0.168111, 1.008165, 0.000000
0.012250, 0.500921, 0.171625, 1.008164, 0.000000
0.012500, 0.500962, 0.175137, 1.008164, 0.000000
0.012750, 0.501004, 0.178646, 1.008164, 0.000000
0.013000, 0.501047, 0.182154, 1.008164, 0.000000
0.013250, 0.501091, 0.185659, 1.008163, 0.000000
0.013500, 0.501135, 0.189162, 1.008163, 0.000000
0.013750, 0.501181, 0.192664, 1.008163, 0.000000
0.014000, 0.501227, 0.196163, 1.008163, 0.000000
0.014250, 0.501274, 0.199660, 1.008162, 0.000000
0.014500, 0.501323, 0.203155, 1.008162, 0.000000
0.014750, 0.501372, 0.206648, 1.008162, 0.000000
0.015000, 0.501422, 0.210139, 1.008162, 0.000000
