Z,"T, a=2.25 in, mean"
1.11,0.41
1.22,0.84
1.44,1.19
1.67,1.43
1.89,1.63
2.11,1.83
2.33,1.98
2.56,2.2
2.78,2.32
3,2.51
3.22,2.65
3.44,2.83
3.67,2.97
3.89,3.11
4.11,3.33
5,4.02
5.89,4.44
7,5.09
8,5.69
9,6.3
10,6.83
11,7.44
12,8.08
13,8.67
14,9.31
