29694 4
0 0 0.000000000000000e+00
121 0 0.000000000000000e+00
242 0 0.000000000000000e+00
363 0 0.000000000000000e+00
484 0 0.000000000000000e+00
605 0 0.000000000000000e+00
726 0 0.000000000000000e+00
847 0 0.000000000000000e+00
968 0 0.000000000000000e+00
1089 0 0.000000000000000e+00
1210 0 0.000000000000000e+00
1331 0 0.000000000000000e+00
1452 0 0.000000000000000e+00
1573 0 0.000000000000000e+00
1694 0 0.000000000000000e+00
1815 0 0.000000000000000e+00
1936 0 0.000000000000000e+00
2057 0 0.000000000000000e+00
2178 0 0.000000000000000e+00
2299 0 0.000000000000000e+00
2420 0 0.000000000000000e+00
2541 0 0.000000000000000e+00
2662 0 0.000000000000000e+00
2783 0 0.000000000000000e+00
2904 0 0.000000000000000e+00
3025 0 0.000000000000000e+00
3146 0 0.000000000000000e+00
3267 0 0.000000000000000e+00
3388 0 0.000000000000000e+00
3509 0 0.000000000000000e+00
3630 0 0.000000000000000e+00
3751 0 0.000000000000000e+00
3872 0 0.000000000000000e+00
3993 0 0.000000000000000e+00
4114 0 0.000000000000000e+00
4235 0 0.000000000000000e+00
4356 0 0.000000000000000e+00
4477 0 0.000000000000000e+00
4598 0 0.000000000000000e+00
4719 0 0.000000000000000e+00
4840 0 0.000000000000000e+00
4961 0 0.000000000000000e+00
5082 0 0.000000000000000e+00
5203 0 0.000000000000000e+00
5324 0 0.000000000000000e+00
5445 0 0.000000000000000e+00
5566 0 0.000000000000000e+00
5687 0 0.000000000000000e+00
5808 0 0.000000000000000e+00
5929 0 0.000000000000000e+00
6050 0 0.000000000000000e+00
6171 0 0.000000000000000e+00
6292 0 0.000000000000000e+00
6413 0 0.000000000000000e+00
6534 0 0.000000000000000e+00
6655 0 0.000000000000000e+00
6776 0 0.000000000000000e+00
6897 0 0.000000000000000e+00
7018 0 0.000000000000000e+00
7139 0 0.000000000000000e+00
7260 0 0.000000000000000e+00
7381 0 0.000000000000000e+00
7502 0 0.000000000000000e+00
7623 0 0.000000000000000e+00
7744 0 0.000000000000000e+00
7865 0 0.000000000000000e+00
7986 0 0.000000000000000e+00
8107 0 0.000000000000000e+00
8228 0 0.000000000000000e+00
8349 0 0.000000000000000e+00
8470 0 0.000000000000000e+00
8591 0 0.000000000000000e+00
8712 0 0.000000000000000e+00
8833 0 0.000000000000000e+00
8954 0 0.000000000000000e+00
9075 0 0.000000000000000e+00
9196 0 0.000000000000000e+00
9317 0 0.000000000000000e+00
9438 0 0.000000000000000e+00
9559 0 0.000000000000000e+00
9680 0 0.000000000000000e+00
9801 0 0.000000000000000e+00
9922 0 0.000000000000000e+00
10043 0 0.000000000000000e+00
10164 0 0.000000000000000e+00
10285 0 0.000000000000000e+00
10406 0 0.000000000000000e+00
10527 0 0.000000000000000e+00
10648 0 0.000000000000000e+00
10769 0 0.000000000000000e+00
10890 0 0.000000000000000e+00
11011 0 0.000000000000000e+00
11132 0 0.000000000000000e+00
11253 0 0.000000000000000e+00
11374 0 0.000000000000000e+00
11495 0 0.000000000000000e+00
11616 0 0.000000000000000e+00
11737 0 0.000000000000000e+00
11858 0 0.000000000000000e+00
11979 0 0.000000000000000e+00
12100 0 0.000000000000000e+00
12221 0 0.000000000000000e+00
12342 0 0.000000000000000e+00
12463 0 0.000000000000000e+00
12584 0 0.000000000000000e+00
12705 0 0.000000000000000e+00
12826 0 0.000000000000000e+00
12947 0 0.000000000000000e+00
13068 0 0.000000000000000e+00
13189 0 0.000000000000000e+00
13310 0 0.000000000000000e+00
13431 0 0.000000000000000e+00
13552 0 0.000000000000000e+00
13673 0 0.000000000000000e+00
13794 0 0.000000000000000e+00
13915 0 0.000000000000000e+00
14036 0 0.000000000000000e+00
14157 0 0.000000000000000e+00
14278 0 0.000000000000000e+00
14399 0 0.000000000000000e+00
14520 0 0.000000000000000e+00
14641 0 0.000000000000000e+00
14762 0 0.000000000000000e+00
14883 0 0.000000000000000e+00
15004 0 0.000000000000000e+00
15125 0 0.000000000000000e+00
15246 0 0.000000000000000e+00
15367 0 0.000000000000000e+00
15488 0 0.000000000000000e+00
15609 0 0.000000000000000e+00
15730 0 0.000000000000000e+00
15851 0 0.000000000000000e+00
15972 0 0.000000000000000e+00
16093 0 0.000000000000000e+00
16214 0 0.000000000000000e+00
16335 0 0.000000000000000e+00
16456 0 0.000000000000000e+00
16577 0 0.000000000000000e+00
16698 0 0.000000000000000e+00
16819 0 0.000000000000000e+00
16940 0 0.000000000000000e+00
17061 0 0.000000000000000e+00
17182 0 0.000000000000000e+00
17303 0 0.000000000000000e+00
17424 0 0.000000000000000e+00
17545 0 0.000000000000000e+00
17666 0 0.000000000000000e+00
17787 0 0.000000000000000e+00
17908 0 0.000000000000000e+00
18029 0 0.000000000000000e+00
18150 0 0.000000000000000e+00
18271 0 0.000000000000000e+00
18392 0 0.000000000000000e+00
18513 0 0.000000000000000e+00
18634 0 0.000000000000000e+00
18755 0 0.000000000000000e+00
18876 0 0.000000000000000e+00
18997 0 0.000000000000000e+00
19118 0 0.000000000000000e+00
19239 0 0.000000000000000e+00
19360 0 0.000000000000000e+00
19481 0 0.000000000000000e+00
19602 0 0.000000000000000e+00
19723 0 0.000000000000000e+00
19844 0 0.000000000000000e+00
19965 0 0.000000000000000e+00
20086 0 0.000000000000000e+00
20207 0 0.000000000000000e+00
20328 0 0.000000000000000e+00
20449 0 0.000000000000000e+00
20570 0 0.000000000000000e+00
20691 0 0.000000000000000e+00
20812 0 0.000000000000000e+00
20933 0 0.000000000000000e+00
21054 0 0.000000000000000e+00
21175 0 0.000000000000000e+00
21296 0 0.000000000000000e+00
21417 0 0.000000000000000e+00
21538 0 0.000000000000000e+00
21659 0 0.000000000000000e+00
21780 0 0.000000000000000e+00
21901 0 0.000000000000000e+00
22022 0 0.000000000000000e+00
22143 0 0.000000000000000e+00
22264 0 0.000000000000000e+00
22385 0 0.000000000000000e+00
22506 0 0.000000000000000e+00
22627 0 0.000000000000000e+00
22748 0 0.000000000000000e+00
22869 0 0.000000000000000e+00
22990 0 0.000000000000000e+00
23111 0 0.000000000000000e+00
23232 0 0.000000000000000e+00
23353 0 0.000000000000000e+00
23474 0 0.000000000000000e+00
23595 0 0.000000000000000e+00
